2024-04-25 15:49:21,061 - Episode: 1/1000, Total Reward: -7.700000000000001, Accuracy: 0.00
2024-04-25 15:49:25,740 - Episode: 2/1000, Total Reward: -3.0, Accuracy: 0.00
2024-04-25 15:49:27,933 - Episode: 3/1000, Total Reward: -6.3, Accuracy: 0.00
2024-04-25 15:49:30,099 - Episode: 4/1000, Total Reward: -4.000000000000001, Accuracy: 0.00
2024-04-25 15:49:32,296 - Episode: 5/1000, Total Reward: -5.3, Accuracy: 0.00
2024-04-25 15:49:34,536 - Episode: 6/1000, Total Reward: -4.5, Accuracy: 0.00
2024-04-25 15:49:37,118 - Episode: 7/1000, Total Reward: -6.5, Accuracy: 0.00
2024-04-25 15:49:39,883 - Episode: 8/1000, Total Reward: -6.5, Accuracy: 0.00
2024-04-25 15:49:42,251 - Episode: 9/1000, Total Reward: -5.3, Accuracy: 0.00
2024-04-25 15:49:45,060 - Episode: 10/1000, Total Reward: -6.1, Accuracy: 0.00
2024-04-25 15:49:47,429 - Episode: 11/1000, Total Reward: -5.9, Accuracy: 0.00
2024-04-25 15:49:49,973 - Episode: 12/1000, Total Reward: -3.2, Accuracy: 0.00
2024-04-25 15:49:52,305 - Episode: 13/1000, Total Reward: -4.7, Accuracy: 0.00
2024-04-25 15:49:54,759 - Episode: 14/1000, Total Reward: -1.8999999999999995, Accuracy: 0.00
2024-04-25 15:49:57,325 - Episode: 15/1000, Total Reward: -4.2, Accuracy: 0.00
2024-04-25 15:50:00,121 - Episode: 16/1000, Total Reward: -5.3, Accuracy: 0.00
2024-04-25 15:50:02,487 - Episode: 17/1000, Total Reward: -6.1, Accuracy: 0.00
2024-04-25 15:50:05,413 - Episode: 18/1000, Total Reward: -6.1, Accuracy: 0.00
2024-04-25 15:50:08,102 - Episode: 19/1000, Total Reward: -7.1000000000000005, Accuracy: 0.00
2024-04-25 15:50:10,936 - Episode: 20/1000, Total Reward: -4.800000000000001, Accuracy: 0.00
2024-04-25 15:50:13,600 - Episode: 21/1000, Total Reward: -5.7, Accuracy: 0.00
2024-04-25 15:50:16,529 - Episode: 22/1000, Total Reward: -4.7, Accuracy: 0.00
2024-04-25 15:50:19,155 - Episode: 23/1000, Total Reward: -5.3, Accuracy: 0.00
2024-04-25 15:50:22,219 - Episode: 24/1000, Total Reward: -7.700000000000001, Accuracy: 0.00
2024-04-25 15:50:25,082 - Episode: 25/1000, Total Reward: -6.5, Accuracy: 0.00
2024-04-25 15:50:28,286 - Episode: 26/1000, Total Reward: -7.900000000000001, Accuracy: 0.00
2024-04-25 15:50:31,136 - Episode: 27/1000, Total Reward: -7.300000000000001, Accuracy: 0.00
2024-04-25 15:50:34,519 - Episode: 28/1000, Total Reward: -7.700000000000001, Accuracy: 0.00
2024-04-25 15:50:37,532 - Episode: 29/1000, Total Reward: -7.300000000000001, Accuracy: 0.00
2024-04-25 15:50:40,751 - Episode: 30/1000, Total Reward: -6.7, Accuracy: 0.00
2024-04-25 15:50:43,857 - Episode: 31/1000, Total Reward: -7.700000000000001, Accuracy: 0.00
2024-04-25 15:50:46,904 - Episode: 32/1000, Total Reward: -8.3, Accuracy: 0.00
2024-04-25 15:50:50,166 - Episode: 33/1000, Total Reward: -8.3, Accuracy: 0.00
2024-04-25 15:50:53,394 - Episode: 34/1000, Total Reward: -6.3, Accuracy: 0.00
2024-04-25 15:50:56,482 - Episode: 35/1000, Total Reward: -7.1000000000000005, Accuracy: 0.00
2024-04-25 15:50:59,710 - Episode: 36/1000, Total Reward: -4.3, Accuracy: 0.00
2024-04-25 15:51:03,100 - Episode: 37/1000, Total Reward: -5.9, Accuracy: 0.00
2024-04-25 15:51:06,485 - Episode: 38/1000, Total Reward: -9.3, Accuracy: 0.00
2024-04-25 15:51:10,207 - Episode: 39/1000, Total Reward: -7.300000000000001, Accuracy: 0.00
2024-04-25 15:51:13,732 - Episode: 40/1000, Total Reward: -9.899999999999999, Accuracy: 0.00
2024-04-25 15:51:16,956 - Episode: 41/1000, Total Reward: -6.1, Accuracy: 0.00
2024-04-25 15:51:20,474 - Episode: 42/1000, Total Reward: -7.300000000000001, Accuracy: 0.00
2024-04-25 15:51:23,931 - Episode: 43/1000, Total Reward: -7.700000000000001, Accuracy: 0.00
2024-04-25 15:51:28,196 - Episode: 44/1000, Total Reward: -8.900000000000002, Accuracy: 0.00
2024-04-25 15:51:31,750 - Episode: 45/1000, Total Reward: -9.7, Accuracy: 0.00
2024-04-25 15:51:35,375 - Episode: 46/1000, Total Reward: -4.800000000000001, Accuracy: 0.00
2024-04-25 15:51:38,976 - Episode: 47/1000, Total Reward: -6.7, Accuracy: 0.00
2024-04-25 15:51:42,668 - Episode: 48/1000, Total Reward: -7.900000000000001, Accuracy: 0.00
2024-04-25 15:51:46,270 - Episode: 49/1000, Total Reward: -7.700000000000001, Accuracy: 0.00
2024-04-25 15:51:49,807 - Episode: 50/1000, Total Reward: -6.9, Accuracy: 0.00
2024-04-25 15:51:53,591 - Episode: 51/1000, Total Reward: -6.9, Accuracy: 0.00
2024-04-25 15:51:57,283 - Episode: 52/1000, Total Reward: -8.3, Accuracy: 0.00
2024-04-25 15:52:01,105 - Episode: 53/1000, Total Reward: -8.700000000000003, Accuracy: 0.00
2024-04-25 15:52:04,678 - Episode: 54/1000, Total Reward: -8.3, Accuracy: 0.00
2024-04-25 15:52:08,368 - Episode: 55/1000, Total Reward: -7.300000000000001, Accuracy: 0.00
2024-04-25 15:52:12,362 - Episode: 56/1000, Total Reward: -5.7, Accuracy: 0.00
2024-04-25 15:52:15,985 - Episode: 57/1000, Total Reward: -7.900000000000001, Accuracy: 0.00
2024-04-25 15:52:19,984 - Episode: 58/1000, Total Reward: -7.900000000000001, Accuracy: 0.00
2024-04-25 15:52:23,492 - Episode: 59/1000, Total Reward: -3.4000000000000004, Accuracy: 0.00
2024-04-25 15:52:27,529 - Episode: 60/1000, Total Reward: -3.6000000000000005, Accuracy: 0.00
2024-04-25 15:52:31,341 - Episode: 61/1000, Total Reward: -4.9, Accuracy: 0.00
2024-04-25 15:52:34,999 - Episode: 62/1000, Total Reward: -1.0999999999999988, Accuracy: 0.00
2024-04-25 15:52:38,791 - Episode: 63/1000, Total Reward: -3.2, Accuracy: 0.00
2024-04-25 15:52:42,786 - Episode: 64/1000, Total Reward: 0.1999999999999984, Accuracy: 0.00
2024-04-25 15:52:46,967 - Episode: 65/1000, Total Reward: -1.8999999999999995, Accuracy: 0.00
2024-04-25 15:52:50,737 - Episode: 66/1000, Total Reward: -1.6999999999999993, Accuracy: 0.00
2024-04-25 15:52:55,064 - Episode: 67/1000, Total Reward: 2.399999999999994, Accuracy: 0.00
2024-04-25 15:52:59,183 - Episode: 68/1000, Total Reward: -0.20000000000000018, Accuracy: 0.00
2024-04-25 15:53:03,305 - Episode: 69/1000, Total Reward: -1.6999999999999993, Accuracy: 0.00
2024-04-25 15:53:08,009 - Episode: 70/1000, Total Reward: 1.099999999999997, Accuracy: 0.00
2024-04-25 15:53:12,141 - Episode: 71/1000, Total Reward: 1.099999999999997, Accuracy: 0.00
2024-04-25 15:53:16,219 - Episode: 72/1000, Total Reward: -1.299999999999999, Accuracy: 0.00
2024-04-25 15:53:20,215 - Episode: 73/1000, Total Reward: -4.7, Accuracy: 0.00
2024-04-25 15:53:24,597 - Episode: 74/1000, Total Reward: -3.4000000000000004, Accuracy: 0.00
2024-04-25 15:53:28,768 - Episode: 75/1000, Total Reward: -5.1, Accuracy: 0.00
2024-04-25 15:53:33,000 - Episode: 76/1000, Total Reward: -5.5, Accuracy: 0.00
2024-04-25 15:53:37,264 - Episode: 77/1000, Total Reward: -5.3, Accuracy: 0.00
2024-04-25 15:53:41,401 - Episode: 78/1000, Total Reward: -6.1, Accuracy: 0.00
2024-04-25 15:53:45,462 - Episode: 79/1000, Total Reward: -4.800000000000001, Accuracy: 0.00
2024-04-25 15:53:49,550 - Episode: 80/1000, Total Reward: -7.500000000000001, Accuracy: 0.00
2024-04-25 15:53:53,676 - Episode: 81/1000, Total Reward: -7.700000000000001, Accuracy: 0.00
2024-04-25 15:53:58,011 - Episode: 82/1000, Total Reward: -8.100000000000001, Accuracy: 0.00
2024-04-25 15:54:02,013 - Episode: 83/1000, Total Reward: -5.5, Accuracy: 0.00
2024-04-25 15:54:06,782 - Episode: 84/1000, Total Reward: -5.3, Accuracy: 0.00
